F1a,F1b,F2a,F2b,F3a,F3b,F3c,F4a,F4b,F5a,F5b,F
No,,,,,,No,,,,,1
No,,,,,,Yes,,,,,3
Yes,,,,,No,,,,,,2
Yes,,,,,Yes,,,,Yes,,5
Yes,,,,,Yes,,,,No,,4
